,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
69,69,21.192105770111084,2025-02-19 20:02:34.521324,2025-02-19 20:02:56.775833,0 days 00:00:22.254509,0.2209922896952521,0.0012591305395226848,0.1055269404864127,19.61029676712486,COMPLETE
70,70,21.33449077606201,2025-02-19 20:02:56.799132,2025-02-19 20:03:19.162787,0 days 00:00:22.363655,0.8291282659434579,0.00170523384229019,0.046107183646250854,7.630300716911381,COMPLETE
71,71,21.47839379310608,2025-02-19 20:03:19.184005,2025-02-19 20:03:41.741813,0 days 00:00:22.557808,0.4078780120262309,0.0024095544506976224,0.24895199397624845,4.680513938726544,COMPLETE
72,72,21.4953773021698,2025-02-19 20:03:41.766480,2025-02-19 20:04:04.329944,0 days 00:00:22.563464,0.08095533399354786,0.0024109499809448157,0.14340349063118113,16.59542838370907,COMPLETE
73,73,21.197027683258057,2025-02-19 20:04:04.349690,2025-02-19 20:04:26.605873,0 days 00:00:22.256183,0.034459776452696864,0.003242153137753604,0.1010270943284723,11.308948688409837,COMPLETE
74,74,20.948248147964478,2025-02-19 20:04:26.626426,2025-02-19 20:04:48.604370,0 days 00:00:21.977944,0.14015077702352155,0.0027480569457722284,0.18479255212033582,9.411122861907723,COMPLETE
75,75,21.26834464073181,2025-02-19 20:04:48.624244,2025-02-19 20:05:10.927154,0 days 00:00:22.302910,0.12068343331612953,0.0029222591949484393,0.20656638565730742,9.647206859976318,COMPLETE
76,76,21.10363221168518,2025-02-19 20:05:10.942617,2025-02-19 20:05:33.131479,0 days 00:00:22.188862,0.19413578861537756,0.0017287736971159202,0.1775406741686749,7.115655150520442,COMPLETE
77,77,21.19923686981201,2025-02-19 20:05:33.153486,2025-02-19 20:05:55.541511,0 days 00:00:22.388025,0.1781555855034362,0.0017209614389912644,0.17242355379808025,6.393713821124788,COMPLETE
78,78,21.660869359970093,2025-02-19 20:05:55.562816,2025-02-19 20:06:18.302108,0 days 00:00:22.739292,0.15299349354067812,0.0046926666822306885,0.3115052320702244,3.5788879389377777,COMPLETE
79,79,21.5599946975708,2025-02-19 20:06:18.323715,2025-02-19 20:06:40.956689,0 days 00:00:22.632974,0.21886329208185684,0.002133238425266502,0.25826364955894315,2.6650341635298838,COMPLETE
80,80,21.306191444396973,2025-02-19 20:06:40.977008,2025-02-19 20:07:03.362116,0 days 00:00:22.385108,0.2901945088374413,0.0028415575268353676,0.16365422029056625,5.401514423303021,COMPLETE
81,81,21.0529727935791,2025-02-19 20:07:03.383225,2025-02-19 20:07:25.469828,0 days 00:00:22.086603,0.13934558069057448,0.0012307281901386118,0.19504738512067635,7.5243922307249465,COMPLETE
82,82,21.325597524642944,2025-02-19 20:07:25.491405,2025-02-19 20:07:47.945360,0 days 00:00:22.453955,0.2040220776934172,0.0012480751130987508,0.20126787679151734,7.6672749496285375,COMPLETE
83,83,21.202413320541382,2025-02-19 20:07:47.966907,2025-02-19 20:08:10.243813,0 days 00:00:22.276906,0.14221940819053278,0.0015994451832103463,0.09505757938470302,4.549609133293345,COMPLETE
84,84,21.26621413230896,2025-02-19 20:08:10.265479,2025-02-19 20:08:32.610560,0 days 00:00:22.345081,0.2457260263416972,0.0012439222009941093,0.3776580220173396,13.908925599473879,COMPLETE
85,85,20.944443225860596,2025-02-19 20:08:32.630921,2025-02-19 20:08:54.661505,0 days 00:00:22.030584,0.18118986624864936,0.0018356401554500891,0.12133675477361526,8.703942163119217,COMPLETE
86,86,21.26120138168335,2025-02-19 20:08:54.683578,2025-02-19 20:09:16.971103,0 days 00:00:22.287525,0.1026576442386825,0.0018828970387525794,0.07055528005425112,11.484606419147942,COMPLETE
87,87,21.35686945915222,2025-02-19 20:09:16.992748,2025-02-19 20:09:39.427989,0 days 00:00:22.435241,0.13353556500227096,0.002715561001983888,0.14137014067721948,9.752642425370874,COMPLETE
88,88,21.356160640716553,2025-02-19 20:09:39.448464,2025-02-19 20:10:01.889424,0 days 00:00:22.440960,0.16644744865454308,0.00412310632517436,0.1112883418125898,8.411238441953751,COMPLETE
89,89,21.217804431915283,2025-02-19 20:10:01.909186,2025-02-19 20:10:24.159232,0 days 00:00:22.250046,0.11014751913435092,0.00126894600162094,0.12470223567212801,5.61372849837869,COMPLETE
90,90,21.701188325881958,2025-02-19 20:10:24.180766,2025-02-19 20:10:46.910757,0 days 00:00:22.729991,0.17394073858112608,0.0010456603314790668,0.2694570206731403,15.030356068867363,COMPLETE
91,91,21.312421798706055,2025-02-19 20:10:46.932203,2025-02-19 20:11:09.318608,0 days 00:00:22.386405,0.28272397486561096,0.002174754230298556,0.3417663699398879,6.097641245709688,COMPLETE
92,92,21.32365870475769,2025-02-19 20:11:09.341376,2025-02-19 20:11:31.750306,0 days 00:00:22.408930,0.13366167584618938,0.0014822072300988355,0.18069802869406176,7.264843567140028,COMPLETE
93,93,21.21219253540039,2025-02-19 20:11:31.770203,2025-02-19 20:11:54.112967,0 days 00:00:22.342764,0.18337341935544163,0.001635925720966007,0.20963880527779327,10.398064962759774,COMPLETE
94,94,21.20222520828247,2025-02-19 20:11:54.134115,2025-02-19 20:12:16.413577,0 days 00:00:22.279462,0.24065131078796653,0.003354600293779818,0.09294011340074368,8.493915201539311,COMPLETE
95,95,21.10133194923401,2025-02-19 20:12:16.435592,2025-02-19 20:12:38.621787,0 days 00:00:22.186195,0.3105691074704779,0.0019603562774896327,0.43573171937640953,13.468167579362648,COMPLETE
96,96,21.001935958862305,2025-02-19 20:12:38.645392,2025-02-19 20:13:00.772964,0 days 00:00:22.127572,0.39519049995487343,0.001976970516094885,0.4514682712908526,12.936156747240684,COMPLETE
97,97,20.952898502349854,2025-02-19 20:13:00.796425,2025-02-19 20:13:22.792454,0 days 00:00:21.996029,0.3160444930479,0.0020826374175647753,0.44371575129393614,12.85218699433306,COMPLETE
98,98,21.49639129638672,2025-02-19 20:13:22.812804,2025-02-19 20:13:45.393086,0 days 00:00:22.580282,0.400492237614552,0.0024860947958675545,0.5314222427118025,12.63762261707816,COMPLETE
99,99,21.403959274291992,2025-02-19 20:13:45.414974,2025-02-19 20:14:07.865608,0 days 00:00:22.450634,0.5056048689455507,0.0031718221347015194,0.26403168159252116,19.633177058073684,COMPLETE
100,100,21.21535325050354,2025-02-19 20:14:07.885016,2025-02-19 20:14:30.181762,0 days 00:00:22.296746,0.09242558390138528,0.002017678004976545,0.330012813980776,17.23397396144341,COMPLETE
